data_source,Tissue type,Cancer type,Cancer subtype,joint tissue type,joint Cancer type,joint Cancer subtype,matching cancer type,matching cancer subtype
FDL_patient,liver,adenocarcinoma,hepatocellular carcinoma,liver,liver carcinoma,hepatocellular carcinoma,TRUE,TRUE
FDL_patient,liver,hepatoblastoma,hepatoblastoma,liver,hepatoblastoma,hepatoblastoma,TRUE,TRUE
FDL_patient,lung,neuroendocrine,small cell lung cancer,lung,neuroendocrine,small cell lung carcinoma,TRUE,TRUE
FDL_patient,lung,normal,normal lung,lung,normal lung,normal lung,FALSE,FALSE
FDL_patient,lung,squamous,non small cell lung squamous,lung,lung carcinoma,lung squamous cell carcinoma,TRUE,TRUE
FDL_patient,lung,adenocarcinoma,non small cell lung adeno,lung,lung carcinoma,lung adenocarcinoma,TRUE,TRUE
FDL_patient,lymph node,normal,normal lymph node,haematopoietic and lymphoid,normal haematopoietic and lymphoid,normal lymph node,TRUE,FALSE
FDL_patient,lymphoma,lymphoma,lymphoma,haematopoietic and lymphoid,lymphoma,missing,TRUE,FALSE
FDL_patient,oesophagus,adenocarcinoma,oesophagus adenocarcinoma,esophagus,esophageal carcinoma,esophageal adenocarcinoma,TRUE,TRUE
FDL_patient,oesophagus,squamous,oesophageal squamous,esophagus,esophageal carcinoma,esophageal squamous cell carcinoma,TRUE,TRUE
FDL_patient,oesophagus,normal,normal oesophagus,esophagus,normal esophagus,normal esophagus,FALSE,FALSE
FDL_patient,other,retinoblastoma,retinoblastoma,neuroectodermal,neuroectodermal tumor,retinoblastoma,TRUE,FALSE
FDL_patient,other,neuroblastoma,neuroblastoma,neuroectodermal,neuroectodermal tumor,neuroblastoma,TRUE,TRUE
FDL_patient,other,ganglioneuroblastoma,ganglioneuroblastoma,neuroectodermal,neuroectodermal tumor,ganglioneuroblastoma,TRUE,FALSE
FDL_patient,ovary,carcinoma,small cell carcinoma ovary,ovary,ovarian carcinoma,ovarian small cell carcinoma,TRUE,FALSE
FDL_patient,ovary,adenocarcinoma,mucinous ovary,ovary,adenocarcinoma,mucinous ovarian adenocarcinoma,TRUE,TRUE
FDL_patient,ovary,carcinoma,mixed mullerian ovary,ovary,ovarian carcinoma,ovarian mixed mullerian carcinoma,TRUE,FALSE
FDL_patient,ovary,adenocarcinoma,low grade serous ovary,ovary,ovarian carcinoma,ovarian serous adenocarcinoma,TRUE,TRUE
FDL_patient,ovary,adenocarcinoma,high grade serous ovary,ovary,ovarian carcinoma,ovarian serous adenocarcinoma,TRUE,TRUE
FDL_patient,ovary,adenocarcinoma,endometrioid ovary,ovary,ovarian carcinoma,ovarian endometrioid adenocarcinoma,TRUE,TRUE
FDL_patient,ovary,adenocarcinoma,clear cell ovary,ovary,ovarian carcinoma,ovarian clear cell adenocarcinoma,TRUE,TRUE
FDL_patient,pancreas,adenocarcinoma,pancreatic ductal adenocarcinoma,pancreas,pancreatic carcinoma,pancreatic ductal adenocarcinoma,TRUE,TRUE
FDL_patient,pancreas,neuroendocrine,pancreas neuroendocrine,pancreas,pancreatic neuroendocrine,pancreatic neuroendocrine,FALSE,FALSE
FDL_patient,pancreas,normal,normal pancreas,pancreas,normal pancreas,normal pancreas,FALSE,FALSE
FDL_patient,prostate,adenocarcinoma,prostate adenocarcinoma,prostate,prostate carcinoma,prostate adenocarcinoma,TRUE,FALSE
FDL_patient,prostate,normal,normal prostate,prostate,normal prostate,normal prostate,FALSE,FALSE
FDL_patient,skin,normal,normal skin,skin,normal skin,normal skin,FALSE,FALSE
FDL_patient,skin,squamous,cutaneous squamous cell carcinoma,skin,skin carcinoma,skin squamous cell carcinoma,TRUE,TRUE
FDL_patient,skin,melanoma,cutaneous melanoma,skin,skin melanoma,skin melanoma,TRUE,TRUE
FDL_patient,skin,basal cell carcinoma,basal cell skin carcinoma,skin,skin carcinoma,basal cell skin carcinoma,FALSE,FALSE
FDL_patient,small intestine,adenocarcinoma,small intestine adenocarcinoma,small intestine,adenocarcinoma,small intestine adenocarcinoma,TRUE,TRUE
FDL_patient,small intestine,normal,normal small intestine,small intestine,normal small intestine,normal small intestine,FALSE,FALSE
FDL_patient,smooth muscle,normal,normal smooth muscle,smooth muscle and soft tissue,normal smooth muscle and soft tissue,normal smooth muscle and soft tissue,FALSE,FALSE
FDL_patient,smooth muscle,sarcoma,leiomyosarcoma,smooth muscle and soft tissue,sarcoma,leiomyosarcoma,TRUE,TRUE
FDL_patient,soft tissue nos,sarcoma,synovial sarcoma,smooth muscle and soft tissue,sarcoma,synovial sarcoma,TRUE,TRUE
FDL_patient,soft tissue nos,sarcoma,rhabdomyosarcoma,smooth muscle and soft tissue,sarcoma,rhabdomyosarcoma,TRUE,TRUE
FDL_patient,other,rhabdoid tumour,rhabdoid tumour,other,rhabdoid tumour,missing,TRUE,FALSE
FDL_patient,soft tissue nos,normal,normal soft tissue nos,smooth muscle and soft tissue,normal smooth muscle and soft tissue,normal smooth muscle and soft tissue,FALSE,FALSE
FDL_patient,soft tissue nos,sarcoma,fibrosarcoma,smooth muscle and soft tissue,sarcoma,fibrosarcoma,TRUE,TRUE
FDL_patient,stomach,adenocarcinoma,stomach adenocarcinoma,stomach,stomach carcinoma,stomach adenocarcinoma,TRUE,TRUE
FDL_patient,stomach,normal,normal stomach,stomach,normal stomach,normal stomach,FALSE,FALSE
FDL_patient,stomach/oesophagus,normal,normal oesophagus,stomach-esophagus,normal esophagus,normal esophagus,FALSE,FALSE
FDL_patient,testis,normal,normal testis,testis,normal testis,normal testis,FALSE,FALSE
FDL_patient,testis,germ cell ,germ cell testis,testis,normal germ cell testis,normal germ cell testis,FALSE,FALSE
FDL_patient,thyroid,thyroid papillary,thyroid papillary,thyroid,thyroid carcinoma,thyroid papillary carcinoma,TRUE,TRUE
FDL_patient,thyroid,normal,normal thyroid,thyroid,normal thyroid,normal thyroid,FALSE,FALSE
FDL_patient,uterus,normal,normal uterus,uterus,normal uterus,normal uterus,FALSE,FALSE
