dataset,cancer_subtype,joint_cancer_subtype
ProCan_cell_line,embryonal rhabdomyosarcoma,rhabdomyosarcoma
ProCan_cell_line,endometrial adenocarcinoma,endometrial_adenocarcinoma
ProCan_cell_line,endometrial adenosquamous carcinoma,endometrial_adenosquamous_carcinoma
ProCan_cell_line,endometrial stromal sarcoma,endometrial_stromal_sarcoma
ProCan_cell_line,epithelioid cell type gastrointestinal stromal tumor,gist_epithelioid
ProCan_cell_line,epithelioid sarcoma,epithelioid_sarcoma
ProCan_cell_line,erythroleukemia,erythroleukemia
ProCan_cell_line,esophageal adenocarcinoma,oesophagus_adenocarcinoma
ProCan_cell_line,esophageal squamous cell carcinoma,oesophagus_squamous_cell_carcinoma
ProCan_cell_line,fibrosarcoma,fibrosarcoma
ProCan_cell_line,floor of mouth squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,follicular lymphoma,follicular_lymphoma
ProCan_cell_line,gallbladder carcinoma,cholangiocarcinoma
ProCan_cell_line,gastic small cell neuroendocrine carcinoma,gastric_neuroendocrine_carcinoma_small_cell
ProCan_cell_line,gastric adenocarcinoma,stomach_adenocarcinoma
ProCan_cell_line,gastric choriocarcinoma,stomach_choriocarcinoma
ProCan_cell_line,gastric fundus carcinoma,stomach_adenocarcinoma
ProCan_cell_line,gastric signet ring cell adenocarcinoma,stomach_adenocarcinoma_signet_ring
ProCan_cell_line,gastric small cell carcinoma,stomach_small_cell_carcinoma
ProCan_cell_line,gastric tubular adenocarcinoma,stomach_adenocarcinoma
ProCan_cell_line,gestational choriocarcinoma,gestational_choriocarcinoma
ProCan_cell_line,gingival squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,hairy cell leukemia,hairy_cell_leukemia
ProCan_cell_line,head and neck squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,hepatoblastoma,hepatoblastoma
ProCan_cell_line,hereditary thyroid gland medullary carcinoma,thyroid_medullary_carcinoma
ProCan_cell_line,high grade ovarian serous adenocarcinoma,ovary_serous_carcinoma_high_grade
ProCan_cell_line,human papilloma virus-related cervical squamous cell carcinoma,cervix_squamous_cell_carcinoma
ProCan_cell_line,hypopharyngeal squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,intrahepatic cholangiocarcinoma,cholangiocarcinoma
ProCan_cell_line,invasive ductal carcinoma of no special type,breast_carcinoma_ductal
ProCan_cell_line,invasive lobular breast carcinoma,breast_carcinoma_lobular
ProCan_cell_line,laryngeal squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,liposarcoma,liposarcoma
ProCan_cell_line,low grade glioma,glioma_low_grade
ProCan_cell_line,lung adenocarcinoma,lung_adenocarcinoma
ProCan_cell_line,lung carcinoid tumor,lung_neuroendocrine_tumour
ProCan_cell_line,lung carcinoma,lung_carcinoma_nos
ProCan_cell_line,lung giant cell carcinoma,lung_giant_cell_carcinoma
ProCan_cell_line,lung large cell carcinoma,lung_large_cell_carcinoma
ProCan_cell_line,lung mucoepidermoid carcinoma,lung_mucoepidermoid_carcinoma
ProCan_cell_line,malignant pleural mesothelioma,pleural_mesothelioma_malignant
ProCan_cell_line,mantle cell lymphoma,mantle_cell_lymphoma
ProCan_cell_line,medulloblastoma,medulloblastoma
ProCan_cell_line,missing,missing_subtype
ProCan_cell_line,mucosal melanoma,melanoma_mucosal
ProCan_cell_line,natural killer cell lymphoblastic leukemia or lymphoma,nk_cell_leukemia_lymphoma
ProCan_cell_line,non-cancerous (b-lymphoblastoid),normal_b_lymphoblastoid
ProCan_cell_line,oligodendroglioma,oligodendroglioma
ProCan_cell_line,oral cavity squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,oral dysplasia,oral_dysplasia
ProCan_cell_line,ovarian adenocarcinoma,ovary_adenocarcinoma_nos
ProCan_cell_line,ovarian clear cell adenocarcinoma,ovary_clear_cell_carcinoma
ProCan_cell_line,ovarian cystadenocarcinoma,ovary_cystadenocarcinoma
ProCan_cell_line,ovarian endometrioid adenocarcinoma,ovary_endometrioid_carcinoma
ProCan_cell_line,ovarian granulosa cell tumor,ovary_granulosa_cell_tumour
ProCan_cell_line,ovarian leiomyosarcoma,ovary_leiomyosarcoma
ProCan_cell_line,ovarian mixed germ cell tumor,ovary_germ_cell_tumour
ProCan_cell_line,ovarian mucinous adenocarcinoma,ovary_mucinous_carcinoma
ProCan_cell_line,ovarian serous adenocarcinoma,ovary_serous_carcinoma_high_grade
ProCan_cell_line,pancreatic adenocarcinoma,pancreatic_adenocarcinoma
ProCan_cell_line,pancreatic adenosquamous carcinoma,pancreatic_adenosquamous_carcinoma
ProCan_cell_line,pancreatic ductal adenocarcinoma,pancreatic_ductal_adenocarcinoma
ProCan_cell_line,pancreatic somatostatinoma,pancreas_neuroendocrine_tumour
ProCan_cell_line,papillary renal cell carcinoma,renal_cell_carcinoma_papillary
ProCan_cell_line,parotid gland mucoepidermoid carcinoma,salivary_gland_mucoepidermoid_carcinoma
ProCan_cell_line,pharyngeal squamous cell carcinoma,head_and_neck_squamous_carcinoma
ProCan_cell_line,pleural biphasic mesothelioma,pleural_mesothelioma_biphasic
ProCan_cell_line,pleural epithelioid mesothelioma,pleural_mesothelioma_epithelioid
ProCan_cell_line,pleural sarcomatoid mesothelioma,pleural_mesothelioma_sarcomatoid
ProCan_cell_line,poorly differentiated thyroid gland carcinoma,thyroid_carcinoma_poorly_differentiated
